"length_url","length_hostname","ip","nb_dots","nb_qm","nb_eq","nb_slash","nb_www","ratio_digits_url","ratio_digits_host","tld_in_subdomain","prefix_suffix","shortest_word_host","longest_words_raw","longest_word_path","phish_hints","nb_hyperlinks","ratio_intHyperlinks","empty_title","domain_in_title","domain_age","google_index","page_rank"
37,19,0,3,0,0,3,1,0,0,0,0,3,11,6,0,17,0.529411765,0,0,-1,1,4
77,23,1,1,0,0,5,0,0.220779221,0,0,0,19,32,32,0,30,0.966666667,0,1,5767,1,2
126,50,1,4,1,3,5,0,0.150793651,0,1,1,3,17,17,0,4,1,0,1,4004,1,0
18,11,0,2,0,0,2,0,0,0,0,0,5,5,0,0,149,0.973154362,0,1,-1,0,3
55,15,0,2,0,0,5,1,0,0,0,0,3,11,11,0,102,0.470588235,0,0,8175,0,6
32,24,0,3,0,0,3,0,0,0,0,1,3,7,0,0,10,0.3,0,1,-1,1,0
19,12,0,2,0,0,2,1,0,0,0,0,3,5,0,0,98,0.081632653,0,0,7529,0,1
81,27,1,2,0,0,5,1,0.259259259,0,0,0,3,32,32,0,30,0.966666667,0,1,5767,1,2
42,34,0,2,0,0,3,0,0,0,0,0,8,21,0,0,63,0.206349206,0,1,7298,0,5
104,10,0,1,0,0,6,0,0.076923077,0,0,0,6,10,10,1,140,0.778571429,0,1,9368,0,5
56,22,0,3,0,0,4,1,0,0,0,0,3,15,7,0,15,1,0,1,-1,0,2
43,16,0,2,0,0,3,1,0.186046512,0,0,0,3,8,6,0,88,0.931818182,0,1,7911,0,6
83,14,0,1,0,0,4,0,0.012048193,0,0,0,10,10,10,0,325,0.775384615,0,1,1505,0,4
31,10,0,2,0,0,3,0,0.064516129,0,0,0,4,8,8,0,3,1,1,1,1761,1,4
25,16,0,2,0,0,3,1,0,0,0,0,3,8,0,0,211,0.933649289,0,0,2041,0,2
51,23,0,3,1,1,4,0,0.019607843,0,0,0,4,12,7,0,50,1,0,1,3892,0,4
31,22,0,2,0,0,3,1,0,0,0,0,3,14,0,0,125,0.96,0,1,8301,0,4
50,21,0,2,0,0,5,0,0.06,0,0,0,4,12,8,0,23,1,0,1,2316,1,0
34,23,0,2,0,0,4,1,0,0,0,0,3,15,2,0,0,0,1,1,2935,1,0
27,19,0,2,0,0,3,1,0.148148148,0.210526316,0,0,3,11,0,0,219,0.97716895,0,1,3932,0,2
63,14,0,3,0,0,7,1,0,0,0,1,3,8,8,0,147,0.884353741,0,0,8759,0,5
66,16,0,2,0,0,4,0,0,0,0,0,4,9,9,0,77,0.818181818,0,1,5647,0,6
40,11,0,2,0,0,5,0,0.1,0,0,0,7,7,7,0,13,0.923076923,0,1,1184,1,0
48,16,0,1,0,0,4,0,0,0,0,1,5,9,9,0,59,0.915254237,0,1,3476,0,4
126,50,1,4,1,3,4,0,0.095238095,0,1,1,3,17,17,0,51,1,0,1,3993,1,0
41,32,0,2,0,0,3,0,0,0,0,0,8,19,0,0,21,0.285714286,0,1,7296,1,5
36,27,0,2,0,0,3,1,0,0,0,0,3,19,0,0,115,0.973913043,0,1,6989,0,4
72,24,0,2,0,0,5,1,0,0,0,0,3,8,8,0,68,0.647058824,0,1,4845,0,5
68,42,1,4,0,0,4,0,0.161764706,0,1,0,3,15,15,0,51,1,0,1,3993,1,0
163,14,1,4,0,1,3,1,0.398773006,0,0,0,3,18,18,1,31,0.483870968,0,1,-1,1,0
26,18,0,2,0,0,3,1,0,0,0,0,3,10,0,0,95,0.947368421,0,0,1170,0,4
64,17,1,2,0,0,4,0,0.34375,0,0,0,3,32,32,0,36,0.388888889,0,1,1237,1,1
36,28,1,4,0,0,3,0,0.25,0.321428571,0,0,1,11,0,0,21,0.19047619,0,1,5627,1,5
61,14,0,2,0,0,6,0,0,0,0,0,10,10,10,0,3,0,0,1,3767,1,0
66,17,1,2,1,1,4,0,0.212121212,0,0,0,5,21,21,0,105,0.542857143,0,0,9316,0,7
35,26,0,2,0,0,3,1,0,0,0,0,3,19,0,0,16,0.375,0,1,7849,0,4
113,24,0,5,0,1,10,1,0,0,0,0,20,20,10,0,417,0.3117506,0,1,3920,0,2
41,34,0,2,0,0,2,0,0,0,0,0,2,6,0,0,27,0.481481481,0,1,5159,0,8
23,12,0,2,0,0,3,1,0,0,0,1,1,3,3,0,160,0.875,0,1,-1,0,3
31,24,0,2,0,0,2,0,0,0,0,0,5,7,0,1,183,0.732240437,0,1,5230,0,7
84,30,0,2,0,0,7,0,0,0,0,1,26,26,9,4,23,1,0,1,3125,1,1
29,17,0,2,0,0,3,0,0,0,0,0,4,8,4,0,1,1,1,1,5026,1,4
